1,,-26240,7584,-1104,-32112,-784,-960,-368,-880,-1920,-1328,-960,8205
2,,-26608,11808,-1072,-32096,-800,-960,-480,-704,-1904,-1264,-944,8205
3,,-26352,15616,-1088,-32128,-832,-960,-672,-608,-1920,-1280,-960,8205
4,,-25344,18960,-1072,-32112,-800,-960,-800,-496,-1904,-1280,-960,8205
5,,-23344,21456,-1088,-32144,-832,-976,-1008,-320,-1808,-1312,-960,8205
6,,-20784,23456,-1056,-32128,-832,-976,-1168,-272,-1728,-1296,-944,8205
7,,-17584,24688,-1056,-32144,-816,-944,-1328,-240,-1600,-1280,-992,8205
8,,-13920,25200,-1072,-32112,-816,-976,-1504,-224,-1504,-1264,-944,8205
9,,-9840,24864,-1072,-32112,-800,-944,-1568,-208,-1360,-1248,-944,8205
10,,-5456,23808,-1088,-32128,-800,-944,-1696,-256,-1200,-1232,-976,8205
11,,-1024,21808,-1088,-32096,-800,-928,-1792,-320,-1040,-1264,-960,8205
12,,3520,19264,-1088,-32096,-800,-944,-1888,-464,-832,-1248,-960,8205
13,,7872,16000,-1120,-32128,-832,-1008,-1920,-592,-688,-1280,-1008,8205
14,,12128,12336,-1088,-32112,-800,-960,-1920,-704,-544,-1232,-960,8205
15,,15840,8192,-1088,-32128,-816,-944,-1904,-880,-400,-1232,-976,8205
16,,19120,3712,-1120,-32112,-816,-976,-1856,-1040,-288,-1280,-960,8205
17,,21616,-736,-1088,-32112,-800,-976,-1760,-1216,-192,-1248,-960,8205
18,,23600,-5328,-1104,-32112,-832,-944,-1664,-1408,-64,-1216,-960,8205
19,,24800,-9776,-1104,-32112,-816,-960,-1536,-1616,-48,-1248,-960,8205
20,,25392,-14016,-1088,-32112,-800,-944,-1440,-1808,16,-1248,-960,8205
21,,24928,-17808,-1152,-32144,-816,-960,-1312,-1952,0,-1280,-992,8205
22,,23984,-21152,-1120,-32128,-816,-944,-1072,-2048,-48,-1264,-944,8205
23,,22064,-23696,-1136,-32112,-800,-976,-912,-2144,-128,-1248,-928,8205
24,,19440,-25648,-1104,-32064,-784,-960,-752,-2240,-224,-1264,-976,8205
25,,16240,-26864,-1104,-32112,-816,-944,-560,-2272,-288,-1280,-944,8205
26,,12608,-27408,-1104,-32096,-784,-944,-384,-2320,-432,-1248,-960,8205
27,,8544,-27040,-1120,-32112,-800,-960,-288,-2288,-576,-1264,-976,8205
28,,4128,-25968,-1120,-32112,-816,-960,-224,-2224,-720,-1264,-992,8205
29,,-336,-24016,-1104,-32112,-800,-928,-112,-2160,-896,-1280,-944,8205
30,,-4784,-21504,-1088,-32112,-784,-944,-16,-2064,-1072,-1264,-960,8205
31,,-9216,-18208,-1104,-32112,-800,-928,32,-1936,-1216,-1280,-944,8205
32,,-13392,-14544,-1088,-32112,-816,-944,0,-1808,-1408,-1280,-976,8205
33,,-17152,-10384,-1088,-32112,-832,-944,16,-1616,-1536,-1280,-976,8205
34,,-20512,-5952,-1088,-32128,-800,-960,-64,-1472,-1648,-1296,-960,8205
35,,-22976,-1472,-1120,-32096,-848,-992,-192,-1264,-1776,-1328,-976,8205
36,,-24864,3056,-1072,-32112,-816,-944,-256,-1056,-1856,-1280,-976,8205
37,,-26192,7568,-1120,-32160,-800,-960,-368,-928,-1936,-1312,-1008,8205
38,,-26688,11776,-1104,-32144,-816,-944,-496,-752,-1936,-1264,-976,8205
39,,-26304,15536,-1056,-32096,-816,-976,-624,-592,-1920,-1280,-960,8205
40,,-25312,18960,-1072,-32112,-816,-960,-816,-480,-1904,-1328,-960,8205
41,,-23360,21472,-1088,-32096,-832,-960,-1008,-368,-1824,-1264,-960,8205
42,,-20832,23424,-1040,-32112,-816,-928,-1152,-240,-1712,-1264,-944,8205
43,,-17616,24640,-1072,-32128,-832,-960,-1344,-208,-1632,-1280,-960,8205
44,,-13984,25216,-1024,-32096,-832,-928,-1488,-176,-1520,-1264,-944,8205
45,,-9936,24864,-1088,-32128,-800,-944,-1600,-224,-1360,-1296,-992,8205
46,,-5504,23792,-1088,-32128,-800,-944,-1712,-272,-1232,-1264,-960,8205
47,,-1008,21840,-1056,-32112,-800,-944,-1776,-304,-1024,-1248,-960,8205
48,,3392,19376,-1072,-32112,-800,-960,-1872,-464,-848,-1248,-992,8205
49,,7824,16016,-1072,-32112,-832,-944,-1920,-576,-688,-1248,-960,8205
