1,,-27536,13328,-720,-27136,13248,-816,288,-736,-240,8243
2,,-27136,9504,-656,-26720,9328,-720,320,-848,-224,8243
3,,-25680,5216,-608,-25264,5024,-560,272,-976,-240,8243
4,,-23280,320,-512,-22928,64,-576,368,-1024,-192,8243
5,,-20944,-4400,-496,-20560,-4640,-496,240,-928,-208,8243
6,,-18000,-8912,-496,-17616,-9216,-400,192,-1040,-224,8243
7,,-14400,-13168,-464,-13984,-13488,-304,80,-1024,-240,8243
8,,-10192,-16816,-432,-9856,-17136,-112,-16,-1024,-224,8243
9,,-5536,-19760,-432,-5232,-20144,-32,-192,-960,-208,8243
10,,-624,-22336,-384,-416,-22704,-16,-208,-1024,-192,8243
11,,4192,-24576,-416,4336,-25040,-48,-272,-928,-208,8243
12,,8704,-26144,-448,8752,-26560,16,-352,-896,-240,8243
13,,12928,-26864,-448,12928,-27344,-16,-496,-784,-208,8243
14,,16560,-26464,-496,16496,-26928,16,-608,-640,-256,8243
15,,19440,-24816,-528,19312,-25280,-32,-656,-480,-208,8243
16,,22096,-22624,-544,21952,-23008,64,-736,-528,-192,8243
17,,24672,-20160,-576,24464,-20544,-48,-720,-432,-192,8243
18,,26224,-17088,-640,26016,-17408,-128,-768,-304,-208,8243
19,,26912,-13648,-704,26656,-13904,-224,-736,-272,-208,8243
20,,26544,-9840,-768,26288,-10032,-400,-720,-112,-224,8243
21,,25008,-5504,-848,24816,-5632,-480,-688,-16,-192,8243
22,,22704,-640,-912,22496,-768,-512,-752,64,-192,8243
23,,20288,4112,-928,20048,4000,-576,-640,-48,-208,8243
24,,17376,8528,-944,17104,8464,-672,-592,96,-208,8243
25,,13728,12896,-976,13472,12848,-784,-480,48,-208,8243
26,,9552,16496,-992,9360,16528,-944,-336,64,-224,8243
27,,4896,19504,-992,4752,19520,-1024,-240,32,-208,8243
28,,0,22000,-1008,-64,22080,-1056,-208,64,-192,8243
29,,-4832,24272,-1008,-4848,24368,-1024,-160,-48,-224,8243
30,,-9360,25840,-1008,-9232,25968,-1072,-32,-64,-192,8243
31,,-13616,26576,-992,-13424,26688,-1072,32,-208,-208,8243
32,,-17248,26112,-928,-16992,26208,-1072,192,-336,-208,8243
33,,-20096,24528,-880,-19808,24608,-1008,272,-432,-208,8243
34,,-22768,22320,-912,-22432,22368,-1120,320,-432,-224,8243
35,,-25312,19856,-848,-24960,19888,-992,304,-528,-192,8243
36,,-26848,16752,-768,-26496,16752,-928,384,-656,-224,8243
37,,-27568,13296,-720,-27152,13200,-784,288,-688,-208,8243
38,,-27136,9504,-656,-26768,9344,-672,320,-832,-224,8243
39,,-25712,5200,-544,-25296,4976,-592,304,-928,-224,8243
40,,-23360,352,-496,-22976,112,-544,384,-1008,-176,8243
41,,-20928,-4480,-528,-20560,-4752,-512,240,-928,-208,8243
42,,-18032,-8960,-464,-17664,-9200,-400,176,-1040,-224,8243
43,,-14368,-13232,-464,-13936,-13488,-288,80,-1040,-224,8243
44,,-10224,-16848,-448,-9888,-17184,-144,-80,-1040,-224,8243
45,,-5488,-19856,-432,-5216,-20176,-80,-144,-976,-192,8243
46,,-624,-22384,-400,-416,-22784,-16,-224,-1008,-208,8243
47,,4208,-24592,-416,4352,-25040,-32,-240,-912,-256,8243
48,,8688,-26176,-432,8752,-26624,32,-352,-880,-208,8243
49,,13040,-26848,-432,13008,-27296,0,-448,-784,-176,8243
50,,16656,-26512,-480,16544,-26944,0,-576,-608,-192,8243
51,,19504,-24864,-544,19376,-25280,-16,-656,-528,-224,8243
52,,22144,-22688,-528,21984,-23072,32,-704,-496,-192,8243
53,,24672,-20160,-576,24512,-20528,-32,-704,-416,-224,8243
54,,26256,-17120,-640,26032,-17472,-144,-800,-320,-224,8243
55,,26928,-13632,-704,26704,-13872,-240,-704,-272,-208,8243
56,,26560,-9872,-768,26304,-10032,-416,-688,-96,-192,8243
57,,25072,-5504,-880,24800,-5648,-464,-704,-48,-208,8243
58,,22768,-720,-912,22528,-784,-496,-720,48,-208,8243
